Neighbourhood_Name,Neighbourhood_Number,CMHC_Zone,rent_2019,rent_2020,rent_2021,rent_2022,rent_2023,rent_2024,City_Zone,Center_Location,Crime_Occurances,Crime_Rate,Walk_Score,Transit_Score,Bike_Score,Population,rent_2025,Distance to U of A (km),Distance to MacEwan (km),Distance to NAIT (km),Distance to Concordia (km),Distance to NorQuest (km),New_Residential_Units_2023,Num_Current_Listings,Supportive_Housing_Count,Supportive_Units,Shelters_Count,
Oliver,1151,1,1175,1199,1196,1237,1320,1395,12,"(53.49733975842764, -113.60876578846745)",1698,0.10,55,68,72,16283,1625,6.197466966,8.715200759,10.63030792,12.87888361,8.557175195,0,253,0,0,0,
Rossdale,1220,1,1175,1199,1196,1237,1320,1395,12,"(53.53315473446558, -113.49579654462286)",80,0.09,63,78,59,917,1550,2.290546217,1.751927318,3.94334074,4.480646283,1.396329752,0,11,0,0,0,
Downtown,1090,1,1175,1199,1196,1237,1320,1395,12,"(53.539766593635115, -113.49942076578088)",4679,0.38,64,57,50,12400,2241,2.53979949,0.9921105132,3.191702114,4.224471631,0.6575788545,11,242,0,0,2,
Riverdale,1210,1,1175,1199,1196,1237,1320,1395,13,"(53.54410729046791, -113.4690108824121)",88,0.04,44,61,56,1987,1528,4.437202638,2.577100675,3.464214841,2.363548922,2.470151453,2,8,1,44,0,
Boyle Street,1020,1,1175,1199,1196,1237,1320,1395,13,"(53.54763104592711, -113.47926288088948)",1400,0.23,76,68,77,6089,1405,4.115211101,1.873894969,2.748391955,2.627240911,1.834563565,237,29,0,0,3,
McCauley,1140,1,1175,1199,1196,1237,1320,1395,13,"(53.55460510238498, -113.48509801676677)",2173,0.44,89,73,85,4893,1670,4.408790843,1.696480804,1.888588839,2.68521018,1.831125374,0,19,0,0,6,
Alberta Avenue,1010,1,1175,1199,1196,1237,1320,1395,5,"(53.568485381370216, -113.48511916939452)",878,0.14,80,66,70,6494,1475,5.70113217,2.79022691,1.096236571,2.773284458,3.06080403,39,18,0,0,0,
Patricia Heights,4390,1,1175,1199,1196,1237,1320,1395,22,"(53.5075640569012, -113.59229331898594)",45,0.03,19,51,26,1638,1600,4.723002495,7.14978122,9.053556945,11.34854173,7.001650594,1,5,0,0,0,
River Valley Victoria,1200,1,1175,1199,1196,1237,1320,1395,,"(53.53499679217865, -113.52369571038119)",86,0.10,54,61,59,820,1783,1.289077481,1.735491612,3.995460272,5.881722808,1.531918386,0,0,0,0,0,
Cromdale,1070,1,1175,1199,1196,1237,1320,1395,9,"(53.55906091683242, -113.469043089566)",243,0.14,61,55,73,1722,1299,5.483058703,2.868817208,2.399067939,1.553824875,2.980663133,1,56,0,0,0,
Westmount,3440,2,1001,1005,1033,1047,1110,1214,7,"(53.54999520578563, -113.53997646884534)",458,0.08,40,57,56,5748,2168,3.082567064,2.172330146,3.262986734,6.351720034,2.330327511,28,31,3,167,0,
