NeighbourhoodName,NeighbourhoodNumber,CMHCZone,rent2019,rent2020,rent2021,rent2022,rent2023,rent2024,CityZone,CenterLocation,CrimeOccurances,CrimeRate,WalkScore,TransitScore,BikeScore,Population,rent2025,Distance to U of A (km),Distance to MacEwan (km),Distance to NAIT (km),Distance to Concordia (km),Distance to NorQuest (km),NewResidentialUnits2023,NumCurrentListings,SupportiveHousingCount,SupportiveUnits,SheltersCount
Oliver,1151,1.0,1175.0,1199.0,1196.0,1237.0,1320.0,1395.0,12.0,"(53.49733975842764, -113.60876578846745)",1698.0,0.1,55.0,68.0,72.0,16283.0,1625,6.197466966,8.715200759,10.63030792,12.87888361,8.557175195,0,253,0,0,0
Rossdale,1220,1.0,1175.0,1199.0,1196.0,1237.0,1320.0,1395.0,12.0,"(53.53315473446558, -113.49579654462286)",80.0,0.09,63.0,78.0,59.0,917.0,1550,2.290546217,1.751927318,3.94334074,4.480646283,1.396329752,0,11,0,0,0
Downtown,1090,1.0,1175.0,1199.0,1196.0,1237.0,1320.0,1395.0,12.0,"(53.539766593635115, -113.49942076578088)",4679.0,0.38,64.0,57.0,50.0,12400.0,2241,2.53979949,0.9921105132,3.191702114,4.224471631,0.6575788545,11,242,0,0,2
Riverdale,1210,1.0,1175.0,1199.0,1196.0,1237.0,1320.0,1395.0,13.0,"(53.54410729046791, -113.4690108824121)",88.0,0.04,44.0,61.0,56.0,1987.0,1528,4.437202638,2.577100675,3.464214841,2.363548922,2.470151453,2,8,1,44,0
Boyle Street,1020,1.0,1175.0,1199.0,1196.0,1237.0,1320.0,1395.0,13.0,"(53.54763104592711, -113.47926288088948)",1400.0,0.23,76.0,68.0,77.0,6089.0,1405,4.115211101,1.873894969,2.748391955,2.627240911,1.834563565,237,29,0,0,3
McCauley,1140,1.0,1175.0,1199.0,1196.0,1237.0,1320.0,1395.0,13.0,"(53.55460510238498, -113.48509801676677)",2173.0,0.44,89.0,73.0,85.0,4893.0,1670,4.408790843,1.696480804,1.888588839,2.68521018,1.831125374,0,19,0,0,6
Alberta Avenue,1010,1.0,1175.0,1199.0,1196.0,1237.0,1320.0,1395.0,5.0,"(53.568485381370216, -113.48511916939452)",878.0,0.14,80.0,66.0,70.0,6494.0,1475,5.70113217,2.79022691,1.096236571,2.773284458,3.06080403,39,18,0,0,0
Patricia Heights,4390,1.0,1175.0,1199.0,1196.0,1237.0,1320.0,1395.0,22.0,"(53.5075640569012, -113.59229331898594)",45.0,0.03,19.0,51.0,26.0,1638.0,1600,4.723002495,7.14978122,9.053556945,11.34854173,7.001650594,1,5,0,0,0
Cromdale,1070,1.0,1175.0,1199.0,1196.0,1237.0,1320.0,1395.0,9.0,"(53.55906091683242, -113.469043089566)",243.0,0.14,61.0,55.0,73.0,1722.0,1299,5.483058703,2.868817208,2.399067939,1.553824875,2.980663133,1,56,0,0,0
Westmount,3440,2.0,1001.0,1005.0,1033.0,1047.0,1110.0,1214.0,7.0,"(53.54999520578563, -113.53997646884534)",458.0,0.08,40.0,57.0,56.0,5748.0,2168,3.082567064,2.172330146,3.262986734,6.351720034,2.330327511,28,31,3,167,0
Queen Mary Park,1180,2.0,1001.0,1005.0,1033.0,1047.0,1110.0,1214.0,8.0,"(53.55332064222554, -113.51965422615388)",889.0,0.14,42.0,63.0,58.0,6400.0,1319,3.345970848,1.049349211,2.059702175,4.961880185,1.361580082,16,94,0,0,0
Central McDougall,1030,2.0,1001.0,1005.0,1033.0,1047.0,1110.0,1214.0,8.0,"(53.55333182850342, -113.50106809464475)",1500.0,0.3,77.0,74.0,81.0,5001.0,1182,3.71633018,0.7999249725,1.678936766,3.749271994,1.090359421,4,0,0,0,0
Prince Rupert,1170,2.0,1001.0,1005.0,1033.0,1047.0,1110.0,1214.0,8.0,"(53.56459450197771, -113.52411765326903)",1939.0,1.42,39.0,53.0,33.0,1365.0,1583,4.573741552,2.220588843,1.547105699,5.221569565,2.575412439,5,6,0,0,0
Spruce Avenue,1230,2.0,1001.0,1005.0,1033.0,1047.0,1110.0,1214.0,8.0,"(53.56463543349929, -113.49950159270514)",655.0,0.33,73.0,68.0,63.0,1972.0,1267,4.909146994,2.005606507,0.4441823334,3.601690008,2.335905547,25,17,0,0,0
Inglewood,3240,2.0,1001.0,1005.0,1033.0,1047.0,1110.0,1214.0,7.0,"(53.56460646699409, -113.54085217126553)",651.0,0.1,41.0,54.0,52.0,6326.0,1265,4.673137057,2.933413515,2.630676846,6.32643607,3.239146397,157,62,2,47,0
Grandview Heights,5210,3.0,1157.0,1154.0,1155.0,1176.0,1229.0,1383.0,15.0,"(53.501164827865296, -113.54891011910658)",20.0,0.02,11.0,51.0,27.0,1051.0,4650,2.904593168,5.818265414,8.113572596,9.485977363,5.546647897,9,1,0,0,0
