NeighbourhoodName,Cluster
Caernarvon,0
Donsdale,0
Jamieson Place,0
Kinokamau Plains Area,0
Bearspaw,0
Twin Brooks,0
Magrath Heights,0
Terwillegar Towne,0
Haddow,0
Wedgewood Heights,0
Cameron Heights,0
Carlisle,0
Griesbach,0
Hudson,0
Pembina,0
Hillview,0
Jackson Heights,0
Kiniski Gardens,0
Greenview,0
Minchau,0
Satoo,0
Forest Heights,1
Mill Creek Ravine South,1
Avonmore,1
King Edward Park,1
Idylwylde,1
Kenilworth,1
Ottewell,1
Strathearn,1
Holyrood,1
Terrace Heights,1
Hazeldean,1
Bonnie Doon,1
Argyll,1
Kirkness,2
Hairsine,2
McConachie,2
Cy Becker,2
Matt Berry,2
Bannerman,2
Brintnell,2
Hollick-Kenyon,2
Lago Lindo,2
Klarvatten,2
Crystallina Nera West,2
Ebbers,2
Fraser,2
Schonsee,2
Miller,3
McLeod,3
Kernohan,3
Belmont,3
Canon Ridge,3
Overlanders,3
Lorelei,3
Casselman,3
Maple Ridge,3
Oxford,3
Albany,3
Baturyn,3
Dunluce,3
Ozerna,3
Mayliewan,3
Belle Rive,3
Summerlea,4
Terra Losa,4
Steinhauer,4
Tweddle Place,4
Michaels Park,4
Thorncliff,4
Callingwood North,4
Delwood,5
Balwin,5
Athlone,5
Belvedere,5
Rosslyn,5
Wellington,5
Glengarry,5
Kensington,5
Gold Bar,5
Capilano,5
Newton,5
Prince Rupert,6
CPR Irvine,6
University of Alberta,6
Edmonton Energy And Technology Park,7
Marquis,7
Parkallen,8
Grandview Heights,8
Belgravia,8
McKernan,8
Garneau,8
Windsor Park,8
Westridge,9
Glenwood,9
Westbrook Estates,9
Greenfield,9
Duggan,9
Royal Gardens,9
Aspen Gardens,9
Rideau Park,9
Ramsay Heights,9
Brander Gardens,9
Bulyea Heights,9
Queen Mary Park,10
Grovenor,10
Inglewood,10
Cloverdale,10
North Glenora,10
Laurier Heights,10
Westmount,10
Parkview,10
Crestwood,10
Glenora,10
Beacon Heights,11
Rundle Heights,11
Eaux Claires,11
Beverly Heights,11
Northmount,11
Abbottsfield,11
Bergman,11
Beaumaris,11
Evansdale,11
Kilkenny,11
York,11
Weinlos,11
Mactaggart,11
Kildare,11
Sifton Park,11
Ekota,11
Meyokumin,11
Homesteader,11
Maple,12
Desrochers Area,12
Summerside,12
Allard,12
Chappelle,12
Cavanagh,12
Walker,12
Callaghan,12
Charlesworth,12
Glenridding Heights,12
Keswick,12
Hays Ridge Area,12
Laurel,12
Windermere,12
Tamarack,12
Heritage Valley Town Centre,12
Lendrum Place,13
Pleasantview,13
Allendale,13
Empire Park,13
Rossdale,13
McCauley,14
Downtown,14
Strathcona,14
Queen Alexandra,14
Ritchie,14
Boyle Street,14
Central McDougall,15
Spruce Avenue,15
Parkdale,15
Westwood,15
Edmonton South Central,16
Edmonton South East,16
Decoteau,16
MacEwan,17
Richford,17
Graydon Hill,17
Blackmud Creek,17
Bisset,17
Larkspur,17
Silver Berry,17
Daly Grove,17
Wild Rose,17
Pollard Meadows,17
Menisa,17
Sakaw,17
Crawford Plains,17
Ellerslie,17
Rutherford,17
Ambleside,17
Maple Ridge Industrial,18
Edgemont,18
Westview Village,18
Winterburn Industrial Area West,18
Secord,18
Lee Ridge,19
Richfield,19
Skyrattler,19
Tawa,19
Kameyosek,19
Tipaskan,19
Ermineskin,19
Blue Quill,19
Meyonohk,19
Leger,19
Keheewin,19
Riverdale,20
Oliver,20
Cromdale,20
Alberta Avenue,20
Rio Terrace,21
Malmo Plains,21
Lansdowne,21
Brookside,21
Oleskiw,21
Patricia Heights,21
West Jasper Place,22
McQueen,22
Meadowlark Park,22
Sherwood,22
Lynnwood,22
Jasper Park,22
Quesnell Heights,22
Mill Creek Ravine North,22
Canora,22
Baranow,23
Mill Woods Town Centre,23
Lewis Farms Industrial,23
Clareview Town Centre,23
Rural North East South Sturgeon,24
Evergreen,24
The Hamptons,25
Blackburne,25
Breckenridge Greens,25
Suder Greens,25
Potter Greens,25
Granville,25
Cumberland,25
Webber Greens,25
Carlton,25
Glastonbury,25
Eastwood,26
Delton,26
Bellevue,26
Fulton Place,26
Montrose,26
Highlands,26
Calder,26
Killarney,26
Elmwood Park,26
Lauderdale,26
Virginia Park,26
Sherbrooke,27
Dovercourt,27
Sweet Grass,27
Prince Charles,27
Britannia Youngstown,27
West Meadowlark Park,27
Elmwood,27
Mayfield,27
High Park,27
Woodcroft,27
Kinglet Gardens,28
Chambery,28
Elsinore,28
Canossa,28
The Orchards At Ellerslie,28
Hawks Ridge,28
Belmead,29
La Perle,29
Ogilvie Ridge,29
Henderson Estates,29
Ormsby Place,29
Gariepy,29
Aldergrove,29
Carter Crest,29
Callingwood South,29
Lymburn,29
Rhatigan Ridge,29
Hodgson,29
Blue Quill Estates,29
Falconer Heights,29
Dechene,29
