NeighbourhoodName,Cluster
Twin Brooks,0
Westmount,1
Inglewood,1
Rossdale,2
Rutherford,3
Graydon Hill,3
Canora,4
Britannia Youngstown,4
West Meadowlark Park,4
Northmount,5
Eaux Claires,5
CPR Irvine,6
Terrace Heights,7
Albany,8
Ermineskin,9
Garneau,10
Granville,11
Tamarack,12
Evergreen,13
Royal Gardens,14
Duggan,14
Spruce Avenue,15
Lorelei,16
Homesteader,16
Elmwood Park,17
Delton,17
Killarney,17
Grandview Heights,18
Bannerman,19
Kernohan,19
Hollick-Kenyon,19
Baranow,20
Boyle Street,21
Chambery,22
Kiniski Gardens,23
Decoteau,24
Maple Ridge,25
Mill Woods Town Centre,26
Belmead,27
Winterburn Industrial Area West,28
Belgravia,29
Idylwylde,30
Wild Rose,31
Clareview Town Centre,32
Aspen Gardens,33
Lansdowne,33
Downtown,34
Laurier Heights,35
Allendale,36
Ritchie,37
Avonmore,38
Rundle Heights,39
Kensington,40
Wellington,40
Capilano,41
University of Alberta,42
Prince Rupert,43
Klarvatten,44
Leger,45
Hodgson,45
Meyonohk,46
Richfield,46
Lee Ridge,46
Ormsby Place,47
Dechene,47
Gariepy,47
Riverdale,48
Empire Park,49
Sakaw,50
Daly Grove,50
Bisset,50
Miller,51
Casselman,51
Belmont,51
McLeod,51
Blue Quill Estates,52
Greenfield,52
Carter Crest,52
Edmonton Energy And Technology Park,53
Summerlea,54
Westwood,55
Montrose,56
Windermere,57
Allard,58
Oliver,59
Breckenridge Greens,60
Webber Greens,60
Pleasantview,61
Parkallen,62
Quesnell Heights,63
McQueen,63
Dovercourt,63
Hudson,64
Carlisle,64
North Glenora,65
Grovenor,65
McCauley,66
Secord,67
McConachie,68
Kirkness,68
Cloverdale,69
Crawford Plains,70
Summerside,70
Ellerslie,70
The Hamptons,71
Edmonton South Central,72
Edgemont,73
Cameron Heights,73
Heritage Valley Town Centre,74
Hazeldean,75
Oleskiw,76
Virginia Park,77
Meyokumin,78
Edmonton South East,79
Canon Ridge,80
Patricia Heights,81
Beverly Heights,82
Beacon Heights,82
Evansdale,83
Beaumaris,83
Sherwood,84
High Park,85
Michaels Park,86
Tweddle Place,86
Mactaggart,87
Central McDougall,88
Lewis Farms Industrial,89
Calder,90
Athlone,90
Rideau Park,91
Cromdale,92
Mill Creek Ravine North,93
Kinokamau Plains Area,94
West Jasper Place,95
Jasper Park,95
Aldergrove,96
The Orchards At Ellerslie,97
Hairsine,98
Parkdale,99
Sweet Grass,100
Argyll,100
York,101
Sifton Park,101
Pollard Meadows,102
Lago Lindo,103
Belle Rive,103
Delwood,104
Balwin,104
Blackburne,105
Glengarry,106
Belvedere,106
Westridge,107
Rio Terrace,107
Ozerna,108
Mayliewan,108
Cavanagh,109
Desrochers Area,109
Hays Ridge Area,109
Chappelle,109
Lauderdale,110
Rosslyn,110
Larkspur,111
Maple Ridge Industrial,112
Terwillegar Towne,113
Forest Heights,114
Jackson Heights,115
Greenview,115
Woodcroft,116
Overlanders,117
Bergman,117
Keheewin,118
Jamieson Place,119
Donsdale,119
Kilkenny,120
Canossa,121
Parkview,122
Queen Alexandra,123
Westbrook Estates,124
Bulyea Heights,124
Carlton,125
Callingwood South,126
La Perle,127
Lymburn,127
Fraser,128
Brintnell,128
Sherbrooke,129
MacEwan,130
Richford,130
Ambleside,130
Westview Village,131
Lendrum Place,132
Kinglet Gardens,133
Kildare,134
Walker,135
Kameyosek,136
Eastwood,137
Callingwood North,138
Malmo Plains,139
Glenwood,140
Brander Gardens,141
Blue Quill,142
Skyrattler,142
Griesbach,143
Matt Berry,144
Potter Greens,145
Suder Greens,145
Crestwood,146
Rural North East South Sturgeon,147
Meadowlark Park,148
Lynnwood,148
Windsor Park,149
Thorncliff,150
Abbottsfield,151
Henderson Estates,152
Rhatigan Ridge,152
Blackmud Creek,153
Alberta Avenue,154
Marquis,155
Cumberland,156
Steinhauer,157
Dunluce,158
Caernarvon,158
Newton,159
Menisa,160
Weinlos,161
Tawa,162
Prince Charles,163
Bellevue,164
Silver Berry,165
Maple,165
Laurel,165
Bearspaw,166
Fulton Place,167
Kenilworth,167
Strathearn,168
Holyrood,168
Magrath Heights,169
Keswick,170
Glenridding Heights,170
Callaghan,170
Haddow,171
King Edward Park,172
Bonnie Doon,172
Ramsay Heights,173
Ogilvie Ridge,173
Highlands,174
Schonsee,175
Falconer Heights,176
McKernan,177
Mayfield,178
Strathcona,179
Hawks Ridge,180
Elmwood,181
Glenora,182
Charlesworth,183
Queen Mary Park,184
Brookside,185
Oxford,186
Crystallina Nera West,186
Baturyn,186
Ekota,187
Pembina,188
Glastonbury,189
Terra Losa,190
Elsinore,191
Gold Bar,192
Tipaskan,193
Mill Creek Ravine South,194
Hillview,195
Minchau,195
Satoo,195
Cy Becker,196
Ebbers,197
Wedgewood Heights,198
Ottewell,199
