NeighbourhoodName,Cluster,RecommendationScore,rent2024
PRINCE RUPERT,6,5,1214.0
CPR IRVINE,6,5,1307.0
UNIVERSITY OF ALBERTA,6,5,1383.0
PARKALLEN,8,4,1383.0
GRANDVIEW HEIGHTS,8,4,1383.0
BELGRAVIA,8,4,1383.0
MCKERNAN,8,4,1383.0
GARNEAU,8,4,1383.0
WINDSOR PARK,8,4,1383.0
MCCAULEY,14,3,1395.0
DOWNTOWN,14,3,1395.0
STRATHCONA,14,3,1383.0
QUEEN ALEXANDRA,14,3,1383.0
RITCHIE,14,3,1383.0
BOYLE STREET,14,3,1395.0
RIVERDALE,20,1,1395.0
OLIVER,20,1,1395.0
CROMDALE,20,1,1395.0
ALBERTA AVENUE,20,1,1395.0
RIO TERRACE,21,2,1509.0
MALMO PLAINS,21,2,1519.0
LANSDOWNE,21,2,1519.0
BROOKSIDE,21,2,1519.0
OLESKIW,21,2,1509.0
PATRICIA HEIGHTS,21,2,1395.0
